"Date","Price","Open","High","Low","Change %"
"Jul 09, 2015","8.1405","8.2193","8.2634","8.0729","-1.01%"
"Jul 08, 2015","8.2239","8.1630","8.2712","8.1534","0.81%"
"Jul 07, 2015","8.1578","8.0741","8.2704","8.0641","1.04%"
"Jul 06, 2015","8.0741","8.0519","8.1118","8.0006","1.08%"
"Jul 03, 2015","7.9876","7.9670","8.0357","7.9395","0.30%"
"Jul 02, 2015","7.9634","7.9436","7.9892","7.8868","0.36%"
"Jul 01, 2015","7.9351","7.8486","7.9511","7.8218","1.16%"
"Jun 30, 2015","7.8444","7.8580","7.9204","7.8214","-0.17%"
"Jun 29, 2015","7.8576","7.9224","7.9403","7.8238","0.24%"
"Jun 26, 2015","7.8389","7.8054","7.8698","7.7819","0.37%"
"Jun 25, 2015","7.8103","7.8565","7.8834","7.7943","-0.51%"
"Jun 24, 2015","7.8503","7.8235","7.8854","7.7855","0.32%"
"Jun 23, 2015","7.8253","7.7432","7.8546","7.7233","1.05%"
"Jun 22, 2015","7.7437","7.7202","7.7730","7.6835","0.19%"
"Jun 19, 2015","7.7289","7.7924","7.8221","7.7208","-0.87%"
"Jun 18, 2015","7.7964","7.6627","7.8071","7.6023","1.80%"
"Jun 17, 2015","7.6583","7.7531","7.7763","7.6345","-1.30%"
"Jun 16, 2015","7.7591","7.7554","7.7984","7.7361","0.09%"
"Jun 15, 2015","7.7524","7.7463","7.8033","7.7463","0.09%"
"Jun 12, 2015","7.7454","7.8441","7.8863","7.7121","-1.26%"
"Jun 11, 2015","7.8439","7.7614","7.8694","7.7486","1.04%"
"Jun 10, 2015","7.7630","7.7754","7.7896","7.6472","-0.22%"
"Jun 09, 2015","7.7803","7.8094","7.8760","7.7497","-0.45%"
"Jun 08, 2015","7.8151","7.9588","7.9870","7.8041","-1.69%"
"Jun 05, 2015","7.9494","7.7532","8.0037","7.7407","2.44%"
"Jun 04, 2015","7.7599","7.7585","7.8214","7.7076","0.02%"
"Jun 03, 2015","7.7586","7.8352","7.8609","7.7083","-0.89%"
"Jun 02, 2015","7.8280","7.9515","7.9689","7.7555","-1.63%"
"Jun 01, 2015","7.9579","7.7670","7.9878","7.7505","2.41%"
"May 29, 2015","7.7704","7.7998","7.8366","7.7318","-0.45%"
"May 28, 2015","7.8057","7.7600","7.8812","7.7223","0.46%"
